date,open,high,low,close,trend
2020-10-07,123,124,123,124,PFH
2020-10-08,124,125,124,125,PFH
2020-10-08,125,126,125,126,PFH
2020-10-08,126,127,126,127,PFH
2020-10-08,127,128,127,128,PFH
2020-10-08,128,129,128,129,PFH
2020-10-08,129,130,129,130,PFH
2020-10-08,130,131,130,131,PFH
2020-10-09,130,130,129,129,PFL
2020-10-09,129,129,128,128,PFL
2020-10-13,128,128,127,127,PFL
2020-10-13,127,127,126,126,PFL
2020-10-15,126,126,125,125,PFL
2020-10-20,125,125,124,124,PFL
2020-10-20,124,124,123,123,PFL
2020-10-20,123,123,122,122,PFL
2020-10-20,122,122,121,121,PFL
2020-10-20,121,121,120,120,PFL
2020-10-20,120,120,119,119,PFL
2020-10-20,119,119,118,118,PFL
2020-10-21,118,118,117,117,PFL
2020-10-21,117,117,116,116,PFL
2020-10-26,116,116,115,115,PFL
2020-10-26,115,115,114,114,PFL
2020-10-26,114,114,113,113,PFL
2020-10-27,113,113,112,112,PFL
2020-10-27,112,112,111,111,PFL
2020-10-28,111,111,110,110,PFL
2020-10-28,110,110,109,109,PFL
2020-10-28,109,109,108,108,PFL
2020-10-28,108,108,107,107,PFL
2020-10-30,108,109,108,109,PFH
2020-10-30,109,110,109,110,PFH
2020-10-30,110,111,110,111,PFH
2020-11-02,111,112,111,112,PFH
2020-11-03,112,113,112,113,PFH
2020-11-03,113,114,113,114,PFH
2020-11-09,114,115,114,115,PFH
2020-11-10,115,116,115,116,PFH
2020-11-10,116,117,116,117,PFH
2020-11-16,117,118,117,118,PFH
2020-11-23,118,119,118,119,PFH
2020-11-23,119,120,119,120,PFH
2020-11-24,120,121,120,121,PFH
2020-11-24,121,122,121,122,PFH
2020-11-24,122,123,122,123,PFH
2020-11-24,123,124,123,124,PFH
2020-12-04,124,125,124,125,PFH
2020-12-04,125,126,125,126,PFH
2020-12-04,126,127,126,127,PFH
2020-12-14,126,126,125,125,PFL
2020-12-14,125,125,124,124,PFL
2021-01-06,125,126,125,126,PFH
2021-01-06,126,127,126,127,PFH
2021-01-06,127,128,127,128,PFH
2021-01-06,128,129,128,129,PFH
